date,category,exercise,weight,reps
2025-05-19,Chest,Barbell Bench Press,70,10
2025-05-19,Chest,Barbell Bench Press,72.5,8
2025-05-19,Chest,Barbell Bench Press,75,6
2025-05-19,Chest,Incline Bench Press,60,10
2025-05-19,Chest,Incline Bench Press,62.5,8
2025-05-19,Chest,Incline Bench Press,65,6
2025-05-19,Chest,Chest Fly,35,12
2025-05-19,Chest,Chest Fly,35,12
2025-05-19,Chest,Chest Fly,35,12
2025-05-20,Back,Deadlift,100,8
2025-05-20,Back,Deadlift,105,6
2025-05-20,Back,Deadlift,110,4
2025-05-20,Back,Lat Pulldown,55,12
2025-05-20,Back,Lat Pulldown,60,10
2025-05-20,Back,Lat Pulldown,65,8
2025-05-20,Back,Pull-Ups,0,8
2025-05-20,Back,Pull-Ups,0,8
2025-05-20,Back,Pull-Ups,0,8
2025-05-21,Legs,Squats,90,10
2025-05-21,Legs,Squats,95,8
2025-05-21,Legs,Squats,100,6
2025-05-21,Legs,Leg Press,150,12
2025-05-21,Legs,Leg Press,160,10
2025-05-21,Legs,Leg Press,170,8
2025-05-21,Legs,Lunges,25,12
2025-05-21,Legs,Lunges,25,12
2025-05-21,Legs,Lunges,25,12
2025-05-19,Chest,Barbell Bench Press,65,8
2025-05-19,Chest,Barbell Bench Press,65,9
2025-05-19,Chest,Barbell Bench Press,65,10
2025-05-19,Chest,Incline Bench Press,55,8
2025-05-19,Chest,Incline Bench Press,55,9
2025-05-19,Chest,Incline Bench Press,55,10
2025-05-19,Chest,Chest Fly,30,8
2025-05-19,Chest,Chest Fly,30,9
2025-05-19,Chest,Chest Fly,30,10
2025-05-20,Back,Deadlift,100,8
2025-05-20,Back,Deadlift,100,9
2025-05-20,Back,Deadlift,100,10
2025-05-20,Back,Lat Pulldown,50,8
2025-05-20,Back,Lat Pulldown,50,9
2025-05-20,Back,Lat Pulldown,50,10
2025-05-20,Back,Pull-Ups,0,8
2025-05-20,Back,Pull-Ups,0,9
2025-05-20,Back,Pull-Ups,0,10
2025-05-21,Legs,Squats,80,8
2025-05-21,Legs,Squats,80,9
2025-05-21,Legs,Squats,80,10
2025-05-21,Legs,Leg Press,140,8
2025-05-21,Legs,Leg Press,140,9
2025-05-21,Legs,Leg Press,140,10
2025-05-21,Legs,Lunges,25,8
2025-05-21,Legs,Lunges,25,9
2025-05-21,Legs,Lunges,25,10
